Make,Model,Type,Origin,DriveTrain,MSRP,EngineSize,Cylinders,Horsepower,MPG_Highway,Weight,Length
Acura,MDX,SUV,Asia,All,36945,3.5,6,265,23,4451,189
Acura,RSX Type S 2dr,Sedan,Asia,Front,23820,2,4,200,31,2778,172
Acura,TSX 4dr,Sedan,Asia,Front,26990,2.4,4,200,29,3230,183
Acura,TL 4dr,Sedan,Asia,Front,33195,3.2,6,270,28,3575,186
Acura,3.5 RL 4dr,Sedan,Asia,Front,43755,3.5,6,225,24,3880,197
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,46100,3.5,6,225,24,3893,197
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,89765,3.2,6,290,24,3153,174
Audi,A4 1.8T 4dr,Sedan,Europe,Front,25940,1.8,4,170,31,3252,179
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,35940,1.8,4,170,30,3638,180
Audi,A4 3.0 4dr,Sedan,Europe,Front,31840,3,6,220,28,3462,179
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,33430,3,6,220,26,3583,179
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,34480,3,6,220,25,3627,179
Audi,A6 3.0 4dr,Sedan,Europe,Front,36640,3,6,220,27,3561,192
Audi,A6 3.0 Quattro 4dr,Sedan,Europe,All,39640,3,6,220,25,3880,192
Audi,A4 3.0 convertible 2dr,Sedan,Europe,Front,42490,3,6,220,27,3814,180
Audi,A4 3.0 Quattro convertible 2dr,Sedan,Europe,All,44240,3,6,220,25,4013,180
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,All,42840,2.7,6,250,25,3836,192
Audi,A6 4.2 Quattro 4dr,Sedan,Europe,All,49690,4.2,8,300,24,4024,193
Audi,A8 L Quattro 4dr,Sedan,Europe,All,69190,4.2,8,330,24,4399,204
Audi,S4 Quattro 4dr,Sedan,Europe,All,48040,4.2,8,340,20,3825,179
Audi,RS 6 4dr,Sports,Europe,Front,84600,4.2,8,450,22,4024,191
Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,Front,35940,1.8,4,180,28,3131,159
Audi,TT 1.8 Quattro 2dr (convertible),Sports,Europe,All,37390,1.8,4,225,28,2921,159
Audi,TT 3.2 coupe 2dr (convertible),Sports,Europe,All,40590,3.2,6,250,29,3351,159
Audi,A6 3.0 Avant Quattro,Wagon,Europe,All,40840,3,6,220,25,4035,192
Audi,S4 Avant Quattro,Wagon,Europe,All,49090,4.2,8,340,21,3936,179
BMW,X3 3.0i,SUV,Europe,All,37000,3,6,225,23,4023,180
BMW,X5 4.4i,SUV,Europe,All,52195,4.4,8,325,22,4824,184
BMW,325i 4dr,Sedan,Europe,Rear,28495,2.5,6,184,29,3219,176
BMW,325Ci 2dr,Sedan,Europe,Rear,30795,2.5,6,184,29,3197,177
BMW,325Ci convertible 2dr,Sedan,Europe,Rear,37995,2.5,6,184,27,3560,177
BMW,325xi 4dr,Sedan,Europe,All,30245,2.5,6,184,27,3461,176
BMW,330i 4dr,Sedan,Europe,Rear,35495,3,6,225,30,3285,176
BMW,330Ci 2dr,Sedan,Europe,Rear,36995,3,6,225,30,3285,176
BMW,330xi 4dr,Sedan,Europe,All,37245,3,6,225,29,3483,176
BMW,525i 4dr,Sedan,Europe,Rear,39995,2.5,6,184,28,3428,191
BMW,330Ci convertible 2dr,Sedan,Europe,Rear,44295,3,6,225,28,3616,177
BMW,530i 4dr,Sedan,Europe,Rear,44995,3,6,225,30,3472,191
BMW,545iA 4dr,Sedan,Europe,Rear,54995,4.4,8,325,26,3814,191
BMW,745i 4dr,Sedan,Europe,Rear,69195,4.4,8,325,26,4376,198
BMW,745Li 4dr,Sedan,Europe,Rear,73195,4.4,8,325,26,4464,204
BMW,M3 coupe 2dr,Sports,Europe,Rear,48195,3.2,6,333,24,3415,177
BMW,M3 convertible 2dr,Sports,Europe,Rear,56595,3.2,6,333,23,3781,177
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,33895,2.5,6,184,28,2932,161
BMW,Z4 convertible 3.0i 2dr,Sports,Europe,Rear,41045,3,6,225,29,2998,161
BMW,325xi Sport,Wagon,Europe,All,32845,2.5,6,184,26,3594,176
Buick,Rainier,SUV,USA,All,37895,4.2,6,275,21,4600,193
Buick,Rendezvous CX,SUV,USA,Front,26545,3.4,6,185,26,4024,187
Buick,Century Custom 4dr,Sedan,USA,Front,22180,3.1,6,175,30,3353,195
Buick,LeSabre Custom 4dr,Sedan,USA,Front,26470,3.8,6,205,29,3567,200
Buick,Regal LS 4dr,Sedan,USA,Front,24895,3.8,6,200,30,3461,196
Buick,Regal GS 4dr,Sedan,USA,Front,28345,3.8,6,240,28,3536,196
Buick,LeSabre Limited 4dr,Sedan,USA,Front,32245,3.8,6,205,29,3591,200
Buick,Park Avenue 4dr,Sedan,USA,Front,35545,3.8,6,205,29,3778,207
Buick,Park Avenue Ultra 4dr,Sedan,USA,Front,40720,3.8,6,240,28,3909,207
Cadillac,Escalade,SUV,USA,Front,52795,5.3,8,295,18,5367,199
Cadillac,SRX V8,SUV,USA,Front,46995,4.6,8,320,21,4302,195
Cadillac,CTS VVT 4dr,Sedan,USA,Rear,30835,3.6,6,255,25,3694,190
Cadillac,Deville 4dr,Sedan,USA,Front,45445,4.6,8,275,26,3984,207
Cadillac,Deville DTS 4dr,Sedan,USA,Front,50595,4.6,8,300,26,4044,207
Cadillac,Seville SLS 4dr,Sedan,USA,Front,47955,4.6,8,275,26,3992,201
Cadillac,XLR convertible 2dr,Sports,USA,Rear,76200,4.6,8,320,25,3647,178
Cadillac,Escalade EXT,Truck,USA,All,52975,6,8,345,17,5879,221
Chevrolet,Suburban 1500 LT,SUV,USA,Front,42735,5.3,8,295,18,4947,219
Chevrolet,Tahoe LT,SUV,USA,All,41465,5.3,8,295,18,5050,197
Chevrolet,TrailBlazer LT,SUV,USA,Front,30295,4.2,6,275,21,4425,192
Chevrolet,Tracker,SUV,USA,Front,20255,2.5,6,165,22,2866,163
Chevrolet,Aveo 4dr,Sedan,USA,Front,11690,1.6,4,103,34,2370,167
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front,12585,1.6,4,103,34,2348,153
Chevrolet,Cavalier 2dr,Sedan,USA,Front,14610,2.2,4,140,37,2617,183
Chevrolet,Cavalier 4dr,Sedan,USA,Front,14810,2.2,4,140,37,2676,183
Chevrolet,Cavalier LS 2dr,Sedan,USA,Front,16385,2.2,4,140,37,2617,183
Chevrolet,Impala 4dr,Sedan,USA,Front,21900,3.4,6,180,32,3465,200
Chevrolet,Malibu 4dr,Sedan,USA,Front,18995,2.2,4,145,34,3174,188
Chevrolet,Malibu LS 4dr,Sedan,USA,Front,20370,3.5,6,200,30,3297,188
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front,21825,3.4,6,180,32,3340,198
Chevrolet,Impala LS 4dr,Sedan,USA,Front,25000,3.8,6,200,30,3476,200
Chevrolet,Impala SS 4dr,Sedan,USA,Front,27995,3.8,6,240,28,3606,200
Chevrolet,Malibu LT 4dr,Sedan,USA,Front,23495,3.5,6,200,32,3315,188
Chevrolet,Monte Carlo SS 2dr,Sedan,USA,Front,24225,3.8,6,200,28,3434,198
Chevrolet,Astro,Sedan,USA,All,26395,4.3,6,190,17,4605,190
Chevrolet,Venture LS,Sedan,USA,Front,27020,3.4,6,185,26,3699,187
Chevrolet,Corvette 2dr,Sports,USA,Rear,44535,5.7,8,350,25,3246,180
Chevrolet,Corvette convertible 2dr,Sports,USA,Rear,51535,5.7,8,350,25,3248,180
Chevrolet,Avalanche 1500,Truck,USA,All,36100,5.3,8,295,18,5678,222
Chevrolet,Colorado Z85,Truck,USA,All,18760,2.8,4,175,23,3623,192
Chevrolet,Silverado 1500 Regular Cab,Truck,USA,Rear,20310,4.3,6,200,21,4142,206
Chevrolet,Silverado SS,Truck,USA,All,40340,6,8,300,17,4804,238
Chevrolet,SSR,Truck,USA,Rear,41995,5.3,8,300,19,4760,191
Chevrolet,Malibu Maxx LS,Wagon,USA,Front,22225,3.5,6,200,30,3458,188
Chrysler,PT Cruiser 4dr,Sedan,USA,Front,17985,2.4,4,150,29,3101,169
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front,22000,2.4,4,150,29,3105,169
Chrysler,Sebring 4dr,Sedan,USA,Front,19090,2.4,4,150,30,3173,191
Chrysler,Sebring Touring 4dr,Sedan,USA,Front,21840,2.7,6,200,28,3222,191
Chrysler,300M 4dr,Sedan,USA,Front,29865,3.5,6,250,27,3581,198
Chrysler,Concorde LX 4dr,Sedan,USA,Front,24130,2.7,6,200,29,3479,208
Chrysler,Concorde LXi 4dr,Sedan,USA,Front,26860,3.5,6,232,27,3548,208
